Ticker Symbol,Price,Percent Change,Net Change,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
NWL,15.96,+3.64%,0.56,15.4,15.44,0.00 x 800,0.00 x 4000,15.40 - 16.03,15.12 - 41.31,9490495,9331289
NFX,19.43,+1.73%,0.33,19.1,18.93,0.00 x 900,0.00 x 1000,18.78 - 19.48,18.67 - 35.20,4913662,2776086
NEM,31,+0.78%,0.24,30.76,30.68,0.00 x 800,0.00 x 3100,30.47 - 31.28,29.06 - 42.04,6532276,6212664
NWSA,12.82,+2.81%,0.35,12.47,12.51,12.82 x 800,13.70 x 900,12.48 - 12.82,12.24 - 17.29,2428436,3963621
NWS,13.03,+2.68%,0.34,12.69,12.78,12.98 x 2900,14.00 x 800,12.72 - 13.03,12.58 - 17.70,454580,720898
NEE,173.55,+0.45%,0.77,172.78,173.72,0.00 x 200,0.00 x 100,171.32 - 174.54,145.10 - 176.83,1893233,1707240
NLSN,25.47,+2.45%,0.61,24.86,24.93,0.00 x 1800,0.00 x 3200,24.80 - 26.04,20.53 - 39.25,7586141,5818015
NKE,74.51,+3.21%,2.32,72.19,73.07,0.00 x 800,0.00 x 800,72.81 - 74.64,54.59 - 86.04,9469954,7509775
NI,25.88,+1.03%,0.26,25.61,25.73,0.00 x 800,0.00 x 2200,25.57 - 25.98,22.44 - 28.11,4449412,3636536
NBL,24.77,+2.14%,0.52,24.25,24.11,0.00 x 3200,0.00 x 800,23.96 - 24.98,23.83 - 37.76,7566893,4868076
JWN,66.9,+6.89%,4.31,62.59,63.3,0.00 x 1400,0.00 x 1100,63.29 - 67.06,37.79 - 67.06,3762021,2734472
NSC,166.31,+3.24%,5.22,161.09,161.46,0.00 x 100,0.00 x 3000,161.10 - 166.75,125.59 - 186.91,1944201,1964249
NTRS,92.4,+2.75%,2.47,89.93,90.61,89.00 x 1200,93.33 x 2200,89.57 - 92.54,87.98 - 115.61,1339642,1353200
NOC,261.1,+1.87%,4.8,256.3,254.88,0.00 x 100,0.00 x 100,251.66 - 261.25,251.66 - 360.88,2452979,1227952
NCLH,42.4,+0.17%,0.07,42.33,42.52,0.00 x 1000,0.00 x 1100,41.61 - 42.66,41.61 - 61.18,4543645,1889773
NRG,35.73,+0.90%,0.32,35.41,35.4,0.00 x 1000,0.00 x 3200,35.36 - 35.93,23.75 - 38.25,3507374,3744747
NUE,57.91,+1.86%,1.06,56.85,56.92,0.00 x 800,0.00 x 1400,56.80 - 58.15,53.71 - 70.48,3865155,2453698
NVDA,203,+9.36%,17.38,185.62,186.55,203.00 x 1000,203.30 x 3200,185.62 - 203.25,176.01 - 292.76,19397385,11270996
ORLY,330.47,+0.39%,1.29,329.18,330.69,321.07 x 100,345.50 x 300,327.34 - 335.28,205.65 - 351.65,550231,607190
OXY,67.55,+1.64%,1.09,66.46,66.42,0.00 x 800,0.00 x 1100,66.10 - 67.71,62.47 - 87.67,4770725,4775446
OMC,74.8,+3.27%,2.37,72.43,72.64,0.00 x 1800,0.00 x 800,72.54 - 74.86,65.32 - 83.34,3387195,2459086
OKE,63.27,+0.06%,0.04,63.23,63.21,0.00 x 800,0.00 x 900,62.20 - 63.82,49.65 - 71.99,2377196,2323696
ORCL,48.57,+3.30%,1.55,47.02,47.08,0.00 x 1200,0.00 x 4000,46.92 - 48.62,42.57 - 53.48,24438150,18027583
PCAR,56.48,+1.20%,0.67,55.81,56.05,55.01 x 1800,56.52 x 800,55.60 - 57.44,53.95 - 79.69,2948888,2037375
PKG,92.96,+4.05%,3.62,89.34,89.57,0.00 x 100,0.00 x 1200,89.40 - 93.49,83.54 - 131.13,1494096,1009764
PH,148.31,+2.13%,3.09,145.22,145.16,0.00 x 800,0.00 x 800,144.57 - 148.87,143.00 - 212.80,2261271,1167080
PAYX,64.63,+1.11%,0.71,63.92,64.01,64.11 x 800,64.67 x 1000,63.70 - 64.71,59.36 - 76.02,2083787,2050286
PYPL,80.9,-0.31%,-0.25,81.15,80.33,81.35 x 800,81.50 x 1100,79.42 - 81.96,68.61 - 93.70,11982626,9249973
PNR,39.82,+1.92%,0.75,39.07,39.38,0.00 x 3000,0.00 x 1300,39.09 - 40.01,36.06 - 50.26,2333961,1579496
PBCT,15.84,+1.73%,0.27,15.57,15.65,15.85 x 1800,16.26 x 46000,15.45 - 15.88,15.04 - 20.26,4705900,3233095
PEP,113.77,+0.78%,0.88,112.89,113.75,113.77 x 800,113.85 x 4000,112.60 - 114.23,95.94 - 122.51,3748513,4350406
PKI,85.68,+2.22%,1.86,83.82,84.16,0.00 x 900,0.00 x 900,83.75 - 85.78,69.21 - 98.33,810145,629001
PRGO,69.79,+2.23%,1.52,68.27,68.44,0.00 x 800,0.00 x 800,67.90 - 70.25,67.40 - 95.93,1253377,1532875
PFE,42.89,-0.79%,-0.34,43.23,41.95,0.00 x 3000,0.00 x 900,41.78 - 43.09,33.20 - 45.81,33609272,21830533
PCG,46.93,+0.32%,0.15,46.78,47.09,0.00 x 800,0.00 x 3200,46.27 - 47.31,37.30 - 58.38,4618836,6091604
PM,90.47,+0.01%,0.01,90.46,91.2,0.00 x 800,0.00 x 900,89.87 - 92.69,76.21 - 111.25,6472330,5544167
PSX,102.06,+3.59%,3.54,98.52,99.38,0.00 x 100,0.00 x 900,99.37 - 102.25,89.14 - 123.97,2554438,2723520
PNW,83.68,+0.31%,0.26,83.42,83.67,0.00 x 200,0.00 x 100,82.81 - 84.26,73.41 - 92.48,699400,925481
PXD,145.78,+1.89%,2.7,143.08,142.27,0.00 x 100,0.00 x 100,141.86 - 146.18,140.54 - 213.40,1673324,1485976
PNC,124.76,+2.13%,2.6,122.16,122.82,0.00 x 900,0.00 x 900,121.89 - 125.01,116.55 - 163.59,3431755,2175610
RL,131.09,+0.16%,0.21,130.88,131.39,0.00 x 1000,0.00 x 800,127.94 - 132.46,83.91 - 147.79,1547857,1015133
PPG,104.22,+1.29%,1.33,102.89,102.98,0.00 x 800,0.00 x 800,102.11 - 104.61,94.37 - 122.07,3070712,1892601
PPL,30.75,+0.69%,0.21,30.54,30.69,0.00 x 4000,0.00 x 1300,30.30 - 30.82,25.30 - 37.57,4835153,4714249
PX,164.5,-0.60%,-0.99,165.49,166.11,0.00 x 800,0.00 x 800,162.74 - 167.67,140.00 - 169.75,57375630,3352578
PFG,46.25,+0.98%,0.45,45.8,46.09,45.55 x 1300,56.00 x 800,45.39 - 46.63,45.39 - 75.58,2867305,1426627
PG,89.19,+1.08%,0.95,88.24,88.85,0.00 x 900,0.00 x 800,88.21 - 89.43,70.73 - 93.14,13844080,8436096
PGR,69.79,+1.34%,0.92,68.87,69.13,0.00 x 1100,0.00 x 1400,68.40 - 70.03,48.69 - 72.72,2701233,3120550
PLD,65.62,+0.49%,0.32,65.3,65.53,0.00 x 2200,0.00 x 800,65.10 - 66.09,58.28 - 68.20,2414385,3437975
PRU,92.44,+1.86%,1.69,90.75,91.36,0.00 x 900,0.00 x 800,90.47 - 92.74,89.33 - 127.14,3289405,2017181
PEG,54.37,-1.56%,-0.86,55.23,55.39,0.00 x 900,0.00 x 1200,54.18 - 55.80,46.19 - 56.68,4168493,2870361
PSA,207.71,+0.81%,1.67,206.04,206,0.00 x 800,0.00 x 100,205.08 - 210.20,180.48 - 234.90,1984487,941380
PHM,24.9,+6.32%,1.48,23.42,23.29,0.00 x 3000,0.00 x 1400,23.07 - 25.06,20.64 - 35.21,13468957,5313475
PVH,118.06,-0.28%,-0.33,118.39,119.43,0.00 x 900,0.00 x 100,117.34 - 121.09,116.52 - 169.22,1105010,1145243
QRVO,70.95,+2.35%,1.63,69.32,69.41,70.51 x 100,71.50 x 1100,68.93 - 71.12,64.53 - 86.84,1485939,1182381
PWR,31.42,+1.98%,0.61,30.81,30.86,0.00 x 1000,0.00 x 2200,30.73 - 31.46,30.26 - 40.10,2180511,1378226
QCOM,63.18,+1.62%,1.01,62.17,62.36,63.01 x 2200,63.17 x 800,62.18 - 63.72,48.56 - 76.50,17528025,13797892
DGX,92.86,+1.12%,1.03,91.83,92.16,0.00 x 800,0.00 x 3200,91.14 - 93.02,90.54 - 116.49,1073942,1002230
RJF,73.98,+1.55%,1.13,72.85,73.13,0.00 x 800,0.00 x 800,72.76 - 74.27,71.93 - 102.17,1897348,814061
RTN,173.14,+2.85%,4.79,168.35,167.51,0.00 x 800,0.00 x 100,165.00 - 174.36,165.00 - 229.75,3873406,1538773
O,61.4,+0.16%,0.1,61.3,61.3,0.00 x 900,0.00 x 3000,60.87 - 61.99,47.25 - 61.99,3897396,1935706
RHT,170,+0.22%,0.37,169.63,167.84,0.00 x 800,0.00 x 900,167.45 - 170.73,115.31 - 177.70,9687893,2345070
REG,64.89,-0.02%,-0.01,64.9,65,0.00 x 800,0.00 x 800,64.61 - 65.76,54.87 - 70.64,1048002,1210933
REGN,339.7,+1.05%,3.52,336.18,335.86,335.00 x 800,350.05 x 100,332.40 - 347.98,281.89 - 432.50,1005051,716826
RF,16.52,+0.55%,0.09,16.43,16.5,0.00 x 3000,0.00 x 36200,16.11 - 16.59,15.06 - 20.21,20155610,11328324
RSG,71.99,+1.52%,1.08,70.91,70.91,0.00 x 4000,0.00 x 1800,70.91 - 72.13,60.26 - 75.82,1850017,1316341
RMD,105.19,+1.97%,2.03,103.16,103.76,0.00 x 100,0.00 x 100,103.33 - 105.25,81.52 - 116.64,764111,728301
RHI,59.62,+1.33%,0.78,58.84,58.97,0.00 x 1400,0.00 x 800,58.52 - 60.21,50.99 - 79.91,1486136,1428869
ROK,163.76,+3.18%,5.04,158.72,158.43,0.00 x 900,0.00 x 100,158.43 - 164.15,153.67 - 210.72,1368100,1092855
COL,128.2,+1.42%,1.79,126.41,126.67,0.00 x 800,0.00 x 1000,126.07 - 128.32,125.04 - 142.61,1525499,1402789
ROL,58.27,+1.50%,0.86,57.41,57.53,0.00 x 1000,0.00 x 800,57.27 - 58.34,42.82 - 64.39,1432824,1120830
ROP,281.55,+1.46%,4.05,277.5,279,0.00 x 1200,0.00 x 100,276.13 - 281.89,252.23 - 312.65,791184,485180
ROST,99.78,+1.53%,1.5,98.28,98.59,99.70 x 900,100.10 x 800,98.59 - 100.80,62.85 - 100.80,2268288,2896995
RCL,101.81,+2.30%,2.29,99.52,99.51,0.00 x 100,0.00 x 100,98.25 - 102.07,97.48 - 135.65,2928165,1860516
CRM,132.17,+0.90%,1.18,130.99,130.44,0.00 x 800,0.00 x 1800,128.51 - 132.99,98.68 - 161.19,10037948,5704863
SBAC,162.22,+4.82%,7.46,154.76,155.53,162.02 x 900,165.00 x 200,154.46 - 162.54,146.13 - 177.67,1118529,814446
SCG,40.89,+10.13%,3.76,37.13,37.39,0.00 x 800,0.00 x 1800,37.35 - 41.84,33.61 - 49.40,4223848,1451923
SLB,52.32,+1.69%,0.87,51.45,51.36,0.00 x 3100,0.00 x 1000,50.83 - 52.55,50.80 - 80.35,12235760,7916596
STX,38.85,+2.70%,1.02,37.83,37.82,38.53 x 900,38.89 x 800,37.78 - 38.87,36.07 - 62.70,4077197,4039584
SEE,32.25,+3.00%,0.94,31.31,31.33,0.00 x 800,0.00 x 1800,31.29 - 32.26,30.22 - 49.94,2352433,2182670
SRE,111.8,-0.66%,-0.74,112.54,112.99,0.00 x 800,0.00 x 1000,110.52 - 113.26,100.49 - 127.22,2200620,1724747
SHW,384.8,+4.93%,18.08,366.72,367.82,0.00 x 1100,0.00 x 1800,366.29 - 385.32,355.28 - 479.64,1302625,721638
SPG,187.75,+3.81%,6.89,180.86,182.49,0.00 x 800,0.00 x 1300,181.95 - 188.21,145.78 - 188.21,3125070,1493115
SWKS,84.66,+3.43%,2.81,81.85,82.12,84.72 x 300,84.80 x 1100,81.90 - 84.85,79.27 - 117.65,1516531,1742860
SLG,92.32,-0.49%,-0.45,92.77,93.18,0.00 x 100,0.00 x 800,92.20 - 93.82,89.46 - 106.54,1071733,646786
SNA,150.73,+1.62%,2.4,148.33,148.81,0.00 x 900,0.00 x 800,147.99 - 152.09,141.63 - 189.46,859445,621338
SO,45.82,-0.15%,-0.07,45.89,46,0.00 x 4000,0.00 x 1300,45.17 - 46.33,42.38 - 53.51,7970173,6653990
LUV,49.15,+2.59%,1.24,47.91,47.36,0.00 x 900,0.00 x 1800,47.25 - 49.18,47.10 - 66.99,8954906,4602158
SPGI,176.61,+2.53%,4.36,172.25,172.94,0.00 x 100,0.00 x 1200,172.60 - 176.70,153.25 - 217.31,2255609,1183232
SWK,113.19,+4.37%,4.74,108.45,109.23,0.00 x 100,0.00 x 800,108.46 - 113.41,106.41 - 176.62,2081477,1419206
SBUX,58.59,+0.38%,0.22,58.37,58.43,58.61 x 800,58.70 x 900,57.69 - 58.86,47.37 - 61.94,12385569,10145610
STT,67.74,+2.00%,1.33,66.41,66.5,0.00 x 800,0.00 x 800,66.45 - 67.88,65.81 - 114.27,4097006,2850055
SRCL,49.09,-0.10%,-0.05,49.14,49.29,49.18 x 1300,49.90 x 1300,48.48 - 49.98,47.77 - 76.73,1197340,869638
SYK,162.04,+0.18%,0.29,161.75,162.19,0.00 x 1100,0.00 x 800,160.13 - 164.50,146.80 - 179.84,1356310,1296736
STI,61.94,+2.92%,1.76,60.18,60.5,0.00 x 800,0.00 x 3000,59.88 - 62.15,56.30 - 75.08,6830324,3489998
SIVB,228.36,+1.86%,4.17,224.19,225.35,210.00 x 100,229.00 x 800,216.46 - 228.68,204.32 - 333.74,1672731,508316
SYMC,17.68,-1.78%,-0.32,18,18.05,17.43 x 1400,17.68 x 1100,17.49 - 18.28,17.49 - 32.95,18976312,8479718
SYF,28.74,+2.61%,0.73,28.01,28.23,0.00 x 800,0.00 x 900,28.09 - 28.77,27.60 - 40.59,5081993,5613353
SNPS,87.81,+1.05%,0.91,86.9,87.17,82.15 x 1200,92.70 x 800,86.53 - 88.19,80.13 - 103.40,654824,1253320
SYY,72.01,+2.40%,1.69,70.32,70.59,0.00 x 800,0.00 x 800,70.35 - 72.08,52.30 - 75.98,2599198,2870872
TROW,96.22,+2.61%,2.45,93.77,94.4,91.00 x 200,121.00 x 1100,93.68 - 96.38,90.95 - 127.43,2108583,1292601
TTWO,124.01,+11.00%,12.29,111.72,121.53,124.00 x 800,124.70 x 900,117.52 - 125.49,92.81 - 139.91,6891876,1998970
TPR,40.32,-1.18%,-0.48,40.8,43,0.00 x 3200,0.00 x 1300,39.28 - 43.00,39.28 - 55.50,6250932,3317700
TGT,85.77,+1.99%,1.67,84.1,84.8,0.00 x 4000,0.00 x 1000,84.55 - 86.47,54.04 - 90.39,5767600,4554718
TEL,78.17,+3.29%,2.49,75.68,75.82,0.00 x 1000,0.00 x 1000,75.22 - 78.26,73.70 - 108.23,4322160,1968229
FTI,26.16,+1.08%,0.28,25.88,25.55,0.00 x 2200,0.00 x 1000,25.36 - 26.20,25.36 - 35.00,4306853,3272738
TXN,92.99,+4.00%,3.58,89.41,90.09,92.26 x 800,93.06 x 1000,89.74 - 93.13,87.90 - 120.75,7068853,6578604
TXT,53.45,+2.18%,1.14,52.31,52.35,0.00 x 800,0.00 x 800,52.24 - 53.57,51.49 - 72.87,2021618,1797364
TMO,232.67,+1.89%,4.32,228.35,228.26,0.00 x 100,0.00 x 800,228.22 - 233.17,181.51 - 249.95,1848762,1441598
TIF,109.6,+1.95%,2.1,107.5,108.1,0.00 x 800,0.00 x 800,106.98 - 109.70,90.46 - 141.64,1334095,1812987
TWTR,33.86,+4.54%,1.47,32.39,31.77,0.00 x 800,0.00 x 800,31.30 - 34.55,19.26 - 47.79,43678167,26340444
TJX,110.17,+1.63%,1.77,108.4,108.91,0.00 x 300,0.00 x 800,108.41 - 110.92,66.44 - 113.28,4857701,3698756
TMK,84.78,+2.10%,1.74,83.04,83.52,0.00 x 200,0.00 x 900,83.20 - 84.91,80.34 - 93.60,621668,518821
TSS,88.87,-0.45%,-0.4,89.27,89.24,0.00 x 800,0.00 x 800,87.13 - 89.94,70.93 - 100.39,1371836,1323101
TSCO,93.4,-0.60%,-0.56,93.96,93.59,92.50 x 200,99.17 x 100,92.03 - 95.00,57.90 - 95.17,1309167,1527889
TDG,317.41,+1.70%,5.32,312.09,312.95,0.00 x 100,0.00 x 1000,311.96 - 318.24,260.83 - 377.67,583282,417821
TRV,125.87,+2.90%,3.55,122.32,122.97,0.00 x 300,0.00 x 1300,122.09 - 126.01,119.67 - 150.55,2217034,1484035
TRIP,50.67,+3.53%,1.73,48.94,48.99,50.31 x 1200,51.18 x 1100,48.52 - 50.96,29.50 - 62.36,1501613,1985387
FOXA,45.68,+0.59%,0.27,45.41,45.56,45.37 x 1400,45.54 x 1400,45.08 - 45.85,24.81 - 50.15,5467332,9076080
FOX,45.29,+0.18%,0.08,45.21,45.37,45.05 x 1200,45.23 x 800,44.75 - 45.41,24.30 - 49.65,3810396,4133750
TSN,62.1,+0.88%,0.54,61.56,61.87,0.00 x 900,0.00 x 1400,60.90 - 62.49,56.79 - 84.65,2551891,2616296
UDR,40.34,+2.02%,0.8,39.54,39.81,0.00 x 900,0.00 x 4000,39.51 - 41.13,32.88 - 41.13,2602073,1462513
ULTA,266.99,-4.13%,-11.51,278.5,278.6,264.50 x 100,279.00 x 900,263.94 - 279.53,191.70 - 290.30,1337939,935335
USB,52.32,+1.47%,0.76,51.56,51.95,0.00 x 800,0.00 x 1400,51.53 - 52.41,48.49 - 58.50,10213860,6407792
UAA,23.23,+27.71%,5.04,18.19,21.71,0.00 x 1300,0.00 x 900,21.58 - 23.37,11.40 - 24.69,32432636,4431683
UA,20.97,+24.75%,4.16,16.81,19.84,0.00 x 1000,0.00 x 3200,19.16 - 21.07,10.36 - 22.68,12470894,2418380
UNP,146.28,+3.50%,4.94,141.34,142,0.00 x 1800,0.00 x 800,141.68 - 146.61,115.16 - 165.63,4934916,4450435
UAL,85.85,+1.01%,0.86,84.99,84.38,82.79 x 3000,86.50 x 3200,84.38 - 86.25,56.51 - 91.39,3806643,3138741
UNH,258.28,+0.69%,1.76,256.52,256.69,0.00 x 100,0.00 x 800,253.98 - 259.69,207.80 - 272.81,4169239,2785724
UPS,107.07,+1.85%,1.94,105.13,105.45,0.00 x 800,0.00 x 3100,104.71 - 107.55,101.45 - 135.53,3047734,2553406
URI,115.62,+5.79%,6.33,109.29,108.3,115.30 x 800,0.00 x 100,108.01 - 115.98,106.48 - 190.74,2622580,1533830
UTX,122.62,+1.26%,1.53,121.09,121.07,0.00 x 100,0.00 x 1200,120.40 - 122.80,115.40 - 144.15,4861923,3758612
UHS,120.84,+1.76%,2.09,118.75,119.06,0.00 x 900,130.70 x 800,117.10 - 121.06,95.26 - 132.64,1097426,683638
UNM,36.25,+4.02%,1.4,34.85,35.09,31.30 x 3200,0.00 x 1300,34.89 - 36.38,33.27 - 58.73,4730495,2291976
VFC,82.47,+1.71%,1.39,81.08,81.71,0.00 x 900,0.00 x 1000,80.94 - 82.57,68.35 - 97.00,2827014,2548372
VLO,90.1,+3.11%,2.72,87.38,87.76,0.00 x 800,90.79 x 800,87.67 - 90.43,77.78 - 126.98,5477024,3190346
VAR,112.21,+1.58%,1.74,110.47,110.69,112.01 x 1100,0.00 x 100,109.77 - 112.47,101.42 - 130.29,662853,655381
VTR,58.97,+2.99%,1.71,57.26,57.46,0.00 x 800,59.50 x 1800,57.05 - 58.99,46.55 - 65.72,4307268,2163738
VRSN,138.66,+2.47%,3.34,135.32,135.31,100.00 x 200,150.00 x 100,134.19 - 139.03,105.40 - 164.19,694379,782776
VRSK,116.91,+2.11%,2.42,114.49,115.05,111.11 x 1200,115.00 x 1000,114.80 - 117.28,84.66 - 122.80,1078309,749153
VZ,58.18,+3.01%,1.7,56.48,56.92,58.20 x 900,58.47 x 1400,56.92 - 58.80,43.97 - 58.80,25231199,15327004
VRTX,171.49,+0.68%,1.15,170.34,171.67,165.00 x 200,171.60 x 1000,168.46 - 173.46,136.50 - 194.92,1145822,1178990
VIAB,31.65,+3.91%,1.19,30.46,30.67,30.60 x 1400,32.95 x 4000,30.67 - 31.69,22.13 - 35.55,4209699,3682924
V,132.76,-1.17%,-1.57,134.33,133.08,133.01 x 800,0.00 x 900,129.79 - 134.86,106.60 - 151.56,15107555,8259684
VNO,67.97,-0.38%,-0.26,68.23,69.06,61.35 x 800,0.00 x 1200,67.27 - 69.48,64.13 - 79.56,1348413,870543
VMC,98.93,+17.49%,14.73,84.2,94.55,0.00 x 900,113.99 x 900,89.99 - 99.22,82.52 - 141.20,6538483,1383609
WMT,102.42,+2.63%,2.62,99.8,100.21,0.00 x 1100,102.39 x 800,100.06 - 102.60,81.78 - 109.98,12708524,8258521
WBA,78.8,+2.58%,1.98,76.82,77.12,76.82 x 800,78.80 x 2200,76.61 - 78.89,59.07 - 80.68,5951160,5837023
DIS,114.76,+1.52%,1.72,113.04,113.39,0.00 x 900,0.00 x 1100,112.41 - 114.89,97.38 - 119.69,7365577,7004115
WM,88.82,+2.79%,2.41,86.41,86.75,0.00 x 900,0.00 x 900,86.57 - 88.96,78.33 - 92.85,2636575,1766166
WAT,188.82,+2.81%,5.16,183.66,184.39,0.00 x 1300,0.00 x 800,183.38 - 189.22,167.94 - 220.20,712423,570816
WEC,69.75,-0.04%,-0.03,69.78,70.02,0.00 x 800,0.00 x 1000,69.04 - 70.37,58.48 - 72.09,2584982,1940216
WCG,282.12,-3.22%,-9.38,291.5,281.18,0.00 x 1000,0.00 x 900,274.17 - 290.83,186.00 - 324.99,1376384,829890
WFC,52.69,+0.88%,0.46,52.23,52.45,52.01 x 800,53.09 x 900,51.87 - 52.91,50.02 - 66.31,24911154,20341621
WELL,69.49,+5.32%,3.51,65.98,66.23,60.15 x 800,0.00 x 1300,65.98 - 69.85,0.14 - 69.85,4266414,2026195
WDC,41.37,-0.43%,-0.18,41.55,41.56,41.50 x 1200,41.77 x 1400,40.58 - 42.60,40.58 - 106.96,9666738,5129260
WU,17.87,+1.59%,0.28,17.59,17.62,16.95 x 27000,19.25 x 800,17.58 - 17.87,17.39 - 22.21,6098500,5112270
WRK,42.84,+4.64%,1.9,40.94,41.16,0.00 x 1800,0.00 x 3200,41.05 - 42.98,39.21 - 71.55,3565403,2115727
WY,26.23,-0.76%,-0.2,26.43,26.59,25.75 x 900,26.48 x 1100,25.75 - 26.75,25.75 - 38.39,8711667,3968701
WHR,111.27,+6.73%,7.02,104.25,104.6,0.00 x 900,0.00 x 1000,104.18 - 111.68,102.13 - 187.47,1417402,1053878
WMB,24.2,+0.71%,0.17,24.03,23.97,0.00 x 1400,25.50 x 800,23.54 - 24.27,23.54 - 33.67,10581866,12901835
WLTW,141.18,+0.58%,0.82,140.36,140.77,65.58 x 800,149.31 x 200,138.44 - 141.29,134.50 - 165.00,631749,613306
WYNN,97.6,+3.63%,3.42,94.18,93.74,98.01 x 900,98.98 x 1300,92.77 - 97.98,92.50 - 203.63,3178422,2730127
XEL,49.69,+0.57%,0.28,49.41,49.59,49.45 x 800,53.49 x 800,48.99 - 49.97,41.51 - 52.22,3736645,3325893
XRX,28.21,+2.73%,0.75,27.46,27.59,26.71 x 2200,0.00 x 900,27.57 - 28.22,23.52 - 37.42,3138141,2947089
XLNX,82.05,+4.72%,3.7,78.35,78.83,82.71 x 800,83.24 x 1000,78.70 - 82.69,62.27 - 83.99,5862667,2473883
XYL,65.13,-0.87%,-0.57,65.7,67.02,0.00 x 900,80.48 x 1800,63.71 - 68.08,63.71 - 82.44,1948868,1069338
YUM,86.43,+1.12%,0.96,85.47,85.83,0.00 x 800,0.00 x 800,85.42 - 86.65,74.26 - 92.21,3708890,1712201
ZBH,114.58,-0.62%,-0.71,115.29,115.54,0.00 x 800,0.00 x 1000,112.41 - 116.90,104.28 - 134.55,1782433,1072520
ZION,46.9,-0.30%,-0.14,47.04,47.26,46.91 x 2200,50.44 x 900,46.39 - 47.43,43.50 - 59.19,4977229,2173315
ZTS,90.18,+0.59%,0.53,89.65,89.25,82.11 x 900,0.00 x 100,89.04 - 91.04,64.02 - 94.31,2446764,2217087
